Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,140,100,184615,1.15384,184875,0,305,0.00190625,3414,592,0.012,0,0.004,0.414,0.413,0.003,0.413,0.868,0,0,0.002,0,95.6522,1834,86.8261,267.175,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,140,100,111860,0.699125,122576,0,305,0.00190625,3414,3108,0.01,0,0.008,0.243,0.242,0.003,0.242,0.528,0,0,0.002,0,169.565,183,32.1304,29.2817,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,155,100,14345405,89.6588,14345405,0,305,0.00190625,221,0,0.012,0,0.002,31.159,31.159,0.012,31.159,62.371,0,0,0.012,0,79.4872,3534,96.8974,557.795,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,155,100,107364,0.671025,125525,0,305,0.00190625,3516,2792,0.012,0,0.006,0.247,0.241,0.027,0.241,0.584,0,0,0.025,0,75.9494,401,21.4177,64.3671,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,155,100,2263205,14.145,2263205,0,305,0.00190625,3190,221,0.015,0,0.002,5.446,5.446,0.021,5.446,10.983,0,0,0.02,0,75.6757,420,14.4595,52.9156,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,155,100,363119,2.26949,363119,0,305,0.00190625,3427,607,0.014,0,0.005,0.839,0.837,0.003,0.837,1.724,0,0,0.002,0,97.4359,1905,101.692,301.197,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,155,100,181491,1.13432,186983,0,305,0.00190625,3427,2809,0.01,0,0.007,0.394,0.392,0.004,0.391,0.83,0,0,0.003,0,171.795,137,45.2308,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,170,100,7297100,45.6069,7297100,0,305,0.00190625,301,0,0.01,0,0.002,16.097,16.097,0.012,16.097,32.242,0,0,0.011,0,72.2222,2504,102.75,428.59,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,170,100,173947,1.08717,196721,0,305,0.00190625,3360,1071,0.013,0,0.007,0.382,0.38,0.024,0.38,0.854,0,0,0.022,0,69.863,1271,48.8904,185.482,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,170,100,1733056,10.8316,1733056,0,305,0.00190625,3390,301,0.011,0,0.002,3.741,3.741,0.021,3.741,7.561,0,0,0.019,0,70.9677,500,24.2419,70.21,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,170,100,157401,0.983756,157401,0,305,0.00190625,3394,2060,0.016,0,0.004,0.348,0.345,0.003,0.345,0.745,0,0,0.002,0,100,374,70.7222,75.404,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,170,100,121894,0.761837,125177,0,305,0.00190625,3394,2865,0.017,0,0.006,0.262,0.262,0.003,0.262,0.58,0,0,0.003,0,166.667,177,48.3611,21.4679,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,185,100,14698855,91.8678,14698855,0,305,0.00190625,104,0,0.012,0,0.002,33.099,33.099,0.013,33.099,66.256,0,0,0.013,0,82.3529,3657,114.588,617.125,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,185,100,135013,0.843831,144670,0,305,0.00190625,3488,1147,0.017,0,0.007,0.311,0.309,0.026,0.309,0.725,0,0,0.024,0,76.1194,1952,50.2239,239.812,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,185,100,1391280,8.6955,1391280,0,305,0.00190625,3206,104,0.016,0,0.002,3.083,3.083,0.021,3.083,6.256,0,0,0.02,0,80,299,17.6154,49.8418,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,185,100,190337,1.18961,191337,0,305,0.00190625,3399,510,0.012,0,0.004,0.435,0.432,0.004,0.432,0.912,0,0,0.003,0,94.1176,1961,120.324,326.796,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,185,100,142833,0.892706,146728,0,305,0.00190625,3399,2289,0.013,0,0.005,0.312,0.309,0.003,0.309,0.666,0,0,0.002,0,158.824,265,68,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,200,100,13412600,83.8287,13412600,0,305,0.00190625,203,0,0.012,0,0.002,30.124,30.124,0.011,30.124,60.3,0,0,0.011,0,77.4194,3068,122.484,548.428,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,200,100,207496,1.29685,249560,0,305,0.00190625,3301,784,0.012,0,0.006,0.467,0.462,0.028,0.461,1.026,0,0,0.026,0,75.8065,1875,63.1452,249.782,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,200,100,1528600,9.55375,1528600,0,305,0.00190625,3278,203,0.015,0,0.002,3.362,3.362,0.024,3.362,6.822,0,0,0.024,0,75.8621,201,18.4138,48.9349,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,200,100,452955,2.83097,454631,0,305,0.00190625,3078,649,0.01,0,0.004,1.074,1.072,0.003,1.072,2.184,0,0,0.002,0,96.7742,1843,137.839,315.798,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,200,100,1095448,6.84655,1097266,0,305,0.00190625,3078,808,0.015,0,0.006,2.547,2.544,0.003,2.544,5.142,0,0,0.002,0,167.742,2146,132.71,373.106,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,215,100,15747165,98.4198,15747165,0,305,0.00190625,38,0,0.014,0,0.002,37.39,37.39,0.012,37.39,74.839,0,0,0.011,0,90,3919,132.067,703.246,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,215,100,596605,3.72878,734905,0,305,0.00190625,3214,300,0.016,0,0.007,1.399,1.395,0.027,1.395,2.9,0,0,0.025,0,77.9661,2429,76.0339,329.293,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,215,100,2107363,13.171,2107363,0,305,0.00190625,3100,38,0.018,0,0.002,4.792,4.792,0.026,4.792,9.689,0,0,0.025,0,82.4561,298,18.4737,58.5408,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,215,100,420264,2.62665,420264,0,305,0.00190625,3471,603,0.011,0,0.004,1.1,1.098,0.003,1.098,2.239,0,0,0.002,0,96.6667,1982,130.867,348.156,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,215,100,257788,1.61118,261124,0,305,0.00190625,3471,2382,0.014,0,0.009,0.69,0.687,0.005,0.687,1.438,0,0,0.004,0,163.333,170,71.5667,-nan,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,230,100,15098700,94.3669,15098700,0,305,0.00190625,38,0,0.01,0,0.003,36.445,36.445,0.014,36.445,72.946,0,0,0.013,0,81.4815,3712,146.741,699.856,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,230,100,1377482,8.60926,1399511,0,305,0.00190625,3115,487,0.018,0,0.006,3.205,3.202,0.026,3.202,6.516,0,0.001,0.024,0,68.5185,3004,81.4444,406.612,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,230,100,1671748,10.4484,1671748,0,305,0.00190625,3189,38,0.017,0,0.002,3.756,3.756,0.025,3.756,7.612,0,0,0.024,0,73.0769,298,21.4615,56.0376,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,230,100,334008,2.08755,334008,0,305,0.00190625,3319,444,0.014,0,0.004,0.753,0.75,0.003,0.75,1.55,0,0,0.002,0,92.5926,1877,156.926,344.441,1,1
rereTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,230,100,154505,0.965656,156785,0,305,0.00190625,3319,3091,0.012,0,0.006,0.341,0.341,0.003,0.341,0.726,0,0,0.002,0,159.259,235,58.8889,42.5483,1,1
TOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,245,100,13324680,83.2793,13324680,0,305,0.00190625,152,0,0.011,0,0.002,29.917,29.916,0.013,29.916,59.887,0,0,0.013,0,73.0769,2874,148,566.213,1,1
cTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,245,100,317738,1.98586,344066,0,305,0.00190625,3335,1798,0.015,0,0.006,0.685,0.682,0.024,0.682,1.463,0,0,0.022,0,64.7059,1404,56.2157,210.275,1,1
dTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,245,100,1856195,11.6012,1856195,0,305,0.00190625,3421,152,0.012,0,0.002,4.113,4.113,0.022,4.113,8.311,0,0,0.021,0,72.9167,208,21.1875,48.3588,1,1
reTOUCH,5,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,NL,3,245,100,497385,3.10866,497385,0,305,0.00190625,3310,678,0.013,0,0.004,1.096,1.094,0.003,1.094,2.233,0,0,0.002,0,96.1538,1802,154.308,333.434,1,1
