Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Partitions, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB
TOUCH,1,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1452,0.001452,74968500,927,41,4.1e-05,1318,0,0.033,0,0.005,0.246,0.153,0.037,0,0.643,0,0,0.036,0,96.732,5611,56.7451,491.059,6,6
cTOUCH,1,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,919371,0.919371,1855401,0,41,4.1e-05,8216,2114,0.031,0,0.017,1.989,1.98,0.064,0,4.214,0,0,0.059,0.005,89.0728,4399,32.0199,305.751,605,605
dTOUCH,1,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1031,0.001031,9341400,50,41,4.1e-05,8050,1318,0.028,0,0.005,0.016,0.011,0.054,0,0.23,0,0,0.052,0.004,93.2624,715,8.26596,55.4028,20,20
reTOUCH,1,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,96715,0.096715,254960,0,41,4.1e-05,8654,3589,0.028,0,0.011,0.23,0.225,0.007,0,0.563,0,0,0.005,0.004,140.523,746,50.6993,84.5874,613,613
rereTOUCH,1,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,110710,0.11071,219625,0,41,4.1e-05,8654,7357,0.027,0,0.014,0.253,0.252,0.007,0,0.607,0,0,0.005,0.002,168.627,192,26.0719,6.70733,613,613
TOUCH,4,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,26460,0.0735,27755200,21783,210,0.000583333,862,0,0.017,0,0.003,0.739,0.378,0.016,0,1.55,0,0,0.016,0,92.3077,4590,56.4615,479.6,8,8
cTOUCH,4,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,554206,1.53946,388425,20,210,0.000583333,4864,1337,0.018,0,0.01,1.196,1.19,0.039,0,2.534,0,0,0.036,0.003,87.9121,4348,31.8626,323.434,365,365
dTOUCH,4,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,3936,0.0109333,3662516,1021,210,0.000583333,4917,862,0.018,0,0.003,0.022,0.02,0.03,0,0.16,0,0,0.029,0.002,90.7975,424,9.92025,52.2582,16,16
reTOUCH,4,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,98585,0.273847,261112,20,210,0.000583333,5122,2213,0.018,0,0.006,0.222,0.219,0.004,0,0.507,0,0,0.003,0.003,156.044,583,51.2637,97.5557,365,365
rereTOUCH,4,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,108332,0.300922,228489,7,210,0.000583333,5122,4103,0.017,0,0.009,0.238,0.236,0.004,0,0.543,0,0,0.002,0.001,179.121,162,30.4945,17.8124,365,365
TOUCH,4,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,32200,0.0503125,54812600,25999,252,0.00039375,974,0,0.023,0,0.004,0.99,0.412,0.021,0,2.076,0.002,0,0.02,0,96.6667,6774,58.55,615.959,5,5
cTOUCH,4,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,486159,0.759623,950045,20,252,0.00039375,6927,2169,0.021,0,0.013,1.128,1.124,0.051,0,2.436,0,0,0.046,0.004,86.722,2170,28.6473,191.266,483,483
dTOUCH,4,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4526,0.00707188,8528312,1172,252,0.00039375,6639,974,0.022,0,0.004,0.024,0.02,0.041,0,0.2,0,0,0.039,0.004,95.0893,942,6.92411,65.1462,12,12
reTOUCH,4,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,135563,0.211817,453717,20,252,0.00039375,6678,2551,0.022,0,0.008,0.297,0.29,0.005,0,0.674,0,0,0.003,0.004,155,683,56.425,108.699,481,481
rereTOUCH,4,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,140410,0.219391,902452,14,252,0.00039375,6678,2812,0.022,0,0.012,0.306,0.303,0.005,0,0.696,0,0,0.003,0.003,178.333,452,54.25,16.2187,481,481
TOUCH,4,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,53452,0.053452,76012400,44094,451,0.000451,1274,0,0.026,0,0.005,1.326,0.792,0.028,0,2.772,0,0,0.027,0,96.732,5714,57.0327,499.042,6,6
cTOUCH,4,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1102356,1.10236,2246113,51,451,0.000451,8135,1954,0.027,0,0.016,2.377,2.367,0.063,0,4.976,0,0,0.058,0.005,89.0728,4475,32.8179,313.076,605,605
dTOUCH,4,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,6489,0.006489,9296700,1414,451,0.000451,8263,1274,0.027,0,0.004,0.033,0.03,0.052,0,0.259,0,0.001,0.05,0.003,91.4894,751,7.46454,49.1916,25,25
reTOUCH,4,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,159563,0.159563,468650,39,451,0.000451,8521,3111,0.034,0,0.011,0.346,0.339,0.007,0,0.809,0,0,0.006,0.005,152.941,651,54.6928,108.166,613,613
rereTOUCH,4,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,171652,0.171652,307061,14,451,0.000451,8521,6978,0.029,0,0.015,0.371,0.371,0.007,0,0.851,0,0,0.005,0.002,173.856,231,29.4183,20.1675,613,613
TOUCH,7,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,258142,0.717061,27942200,220228,743,0.00206389,816,0,0.021,0,0.003,2.375,1.377,0.016,0,4.831,0.01,0,0.015,0,92.3077,4622,56.967,483.001,8,8
cTOUCH,7,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,585634,1.62676,263638,91,743,0.00206389,4840,1185,0.018,0,0.009,1.257,1.253,0.037,0,2.653,0,0,0.034,0.003,87.9121,4172,32.8297,311.119,365,365
dTOUCH,7,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,14421,0.0400583,3924700,5661,743,0.00206389,4824,816,0.02,0,0.003,0.049,0.045,0.029,0,0.217,0,0,0.027,0.004,90.184,485,10.5767,56.9153,17,17
reTOUCH,7,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,159421,0.442836,392120,91,743,0.00206389,5019,2004,0.017,0,0.006,0.348,0.343,0.004,0,0.758,0,0,0.003,0.003,160.44,495,54.6923,106.97,365,365
rereTOUCH,7,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,190490,0.529139,367738,65,743,0.00206389,5019,3354,0.016,0,0.008,0.404,0.403,0.004,0,0.872,0,0.001,0.003,0.001,176.923,252,39.8571,25.3132,365,365
TOUCH,7,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,313731,0.490205,55208600,266964,898,0.00140313,947,0,0.021,0,0.004,3.014,1.507,0.024,0,6.129,0.012,0,0.023,0,97.5,6833,58.775,621.263,4,4
cTOUCH,7,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,554947,0.867105,984508,94,898,0.00140313,6879,1984,0.022,0,0.013,1.207,1.204,0.052,0,2.598,0,0,0.048,0.004,86.722,2222,29.6141,197.011,483,483
dTOUCH,7,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,19418,0.0303406,9901834,7330,898,0.00140313,6490,947,0.025,0,0.004,0.061,0.055,0.041,0,0.28,0,0,0.039,0.006,95.9821,1199,7.57589,81.2714,10,10
reTOUCH,7,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,168517,0.263308,727908,94,898,0.00140313,6211,2275,0.022,0,0.008,0.373,0.37,0.005,0,0.826,0,0,0.003,0.005,161.667,675,62.6167,130.312,481,481
rereTOUCH,7,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,242229,0.378483,1693733,132,898,0.00140313,6211,2407,0.022,0,0.011,0.538,0.538,0.005,0,1.16,0,0,0.004,0.004,180,798,61.5167,63.0159,481,481
TOUCH,7,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,471587,0.471587,77213800,403647,1451,0.001451,1217,0,0.026,0,0.005,4.204,2.734,0.027,0,8.526,0.016,0,0.026,0,96.732,5829,57.4052,508.207,6,6
cTOUCH,7,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1254378,1.25438,2424632,197,1451,0.001451,8064,1785,0.026,0,0.016,2.678,2.669,0.064,0,5.584,0,0,0.059,0.006,89.7351,4551,33.6126,319.751,605,605
dTOUCH,7,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,27486,0.027486,10150114,9446,1451,0.001451,7848,1217,0.027,0,0.005,0.089,0.083,0.052,0,0.372,0,0,0.05,0.006,92.2535,769,8.79225,61.4413,23,23
reTOUCH,7,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,255183,0.255183,710602,125,1451,0.001451,8429,2711,0.027,0,0.011,0.559,0.554,0.006,0,1.219,0,0,0.005,0.005,164.706,879,57.9085,123.79,613,613
rereTOUCH,7,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,279623,0.279623,602187,33,1451,0.001451,8429,6128,0.027,0,0.015,0.602,0.6,0.006,0,1.308,0,0,0.005,0.003,179.085,332,35.5752,29.8435,613,613
TOUCH,10,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1332918,3.70255,28076300,1171884,1826,0.00507222,753,0,0.021,0,0.002,6.265,4.172,0.017,0,12.613,0.052,0,0.016,0,93.4066,4642,57.6593,485.255,7,7
cTOUCH,10,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,661947,1.83874,287892,238,1826,0.00507222,4808,1102,0.024,0,0.01,1.408,1.402,0.037,0,2.969,0,0,0.034,0.004,87.9121,4310,33.4615,320.963,365,365
dTOUCH,10,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,53781,0.149392,4349795,25920,1826,0.00507222,4802,753,0.014,0,0.003,0.139,0.133,0.031,0,0.389,0.002,0,0.029,0.005,93.2515,492,10.9325,59.0896,12,12
reTOUCH,10,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,218508,0.606967,529024,239,1826,0.00507222,4900,1844,0.017,0,0.006,0.484,0.482,0.004,0,1.03,0,0,0.003,0.003,169.231,612,57.7582,118.582,365,365
rereTOUCH,10,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,252942,0.702617,464341,208,1826,0.00507222,4900,3090,0.017,0,0.009,0.56,0.56,0.004,0,1.188,0.002,0,0.003,0.002,178.022,320,44.0659,36.381,365,365
TOUCH,10,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1613064,2.52041,55540800,1423637,2207,0.00344844,926,0,0.023,0,0.004,8.474,5.672,0.021,0,17.046,0.066,0,0.021,0,97.5,6884,58.95,625.85,4,4
cTOUCH,10,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,646631,1.01036,1026451,290,2207,0.00344844,6884,1803,0.022,0,0.013,1.382,1.372,0.051,0,2.948,0.002,0,0.047,0.004,85.8921,2228,30.3444,202.023,483,483
dTOUCH,10,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,62972,0.0983938,12055600,30181,2207,0.00344844,6229,926,0.019,0,0.004,0.164,0.156,0.043,0,0.481,0.002,0,0.042,0.007,95.5357,1520,8.72768,102.113,11,11
reTOUCH,10,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,225931,0.353017,941433,262,2207,0.00344844,6101,2025,0.022,0,0.009,0.491,0.485,0.005,0,1.063,0,0,0.004,0.004,165,867,65.6167,149.829,481,481
rereTOUCH,10,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,310351,0.484923,1865548,378,2207,0.00344844,6101,2142,0.026,0,0.012,0.673,0.673,0.005,0,1.444,0.002,0,0.003,0.004,179.167,800,64.6417,62.5775,481,481
TOUCH,10,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,2312543,2.31254,78516800,2050924,3513,0.003513,1151,0,0.027,0,0.004,11.304,8.272,0.028,0,22.73,0.09,0.001,0.027,0,96.732,5965,57.8366,518.653,6,6
cTOUCH,10,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1416523,1.41652,2724772,682,3513,0.003513,8024,1648,0.03,0,0.016,3.021,3.015,0.065,0,6.282,0.002,0.001,0.06,0.006,89.404,4555,34.1987,323.163,605,605
dTOUCH,10,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,78254,0.078254,15241800,35388,3513,0.003513,7716,1151,0.027,0,0.005,0.201,0.19,0.052,0,0.594,0.006,0,0.05,0.008,94.386,1344,9.16842,90.2217,17,17
reTOUCH,10,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,365548,0.365548,956851,328,3513,0.003513,8335,2421,0.027,0,0.011,0.792,0.784,0.006,0,1.685,0,0,0.005,0.006,164.706,1184,60.4183,144.674,613,613
rereTOUCH,10,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,378836,0.378836,828635,111,3513,0.003513,8335,5648,0.025,0,0.015,0.822,0.819,0.007,0,1.747,0,0,0.004,0.003,177.124,482,39.3268,45.0186,613,613
TOUCH,13,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,4721579,13.1155,28199700,4183869,3491,0.00969722,715,0,0.016,0,0.003,16.243,12.643,0.016,0,32.558,0.194,0,0.016,0,93.4066,4662,58.0769,487.397,7,7
cTOUCH,13,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,544401,1.51222,293969,704,3491,0.00969722,4784,1004,0.018,0,0.01,1.146,1.142,0.038,0,2.432,0.002,0,0.035,0.003,86.8132,4215,34.1319,313.913,365,365
dTOUCH,13,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,135059,0.375164,4473553,76128,3491,0.00969722,4749,715,0.016,0,0.003,0.319,0.309,0.029,0,0.75,0.004,0,0.028,0.008,90.7975,545,11.3804,60.1282,16,16
reTOUCH,13,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,266045,0.739014,690615,517,3491,0.00969722,4821,1718,0.016,0,0.007,0.577,0.573,0.003,0,1.215,0,0,0.002,0.004,170.33,784,60.011,136.266,365,365
rereTOUCH,13,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,315853,0.877369,689285,514,3491,0.00969722,4821,2716,0.022,0,0.009,0.684,0.682,0.004,0,1.447,0,0,0.003,0.003,178.022,389,49.044,43.9224,365,365
TOUCH,13,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,5668881,8.85763,55920800,5042720,4166,0.00650938,905,0,0.025,0,0.003,19.63,14.707,0.022,0,39.363,0.244,0,0.021,0,97.5,6945,59.125,631.345,4,4
cTOUCH,13,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,744502,1.16328,1175653,816,4166,0.00650938,6836,1665,0.023,0,0.013,1.604,1.598,0.052,0,3.396,0,0,0.048,0.004,86.3071,2252,31.1162,208.855,483,483
dTOUCH,13,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,162458,0.253841,9064275,86882,4166,0.00650938,6546,905,0.029,0,0.004,0.369,0.355,0.04,0,0.906,0.006,0,0.039,0.011,95.1327,1085,7.23009,73.6402,12,12
reTOUCH,13,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,312018,0.487528,1347998,575,4166,0.00650938,5976,1827,0.022,0,0.008,0.676,0.675,0.005,0,1.436,0.001,0.001,0.004,0.004,163.333,1107,68.3083,175.756,481,481
rereTOUCH,13,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,412166,0.644009,2171346,1029,4166,0.00650938,5976,1918,0.023,0,0.012,0.882,0.878,0.005,0,1.855,0,0,0.003,0.004,181.667,849,67.55,87.8323,481,481
TOUCH,13,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,7930130,7.93013,79537000,7073545,6435,0.006435,1077,0,0.027,0,0.005,26.681,21.251,0.028,0,53.486,0.329,0,0.027,0,96.732,6109,58.3203,528.031,6,6
cTOUCH,13,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,1550510,1.55051,3026908,1516,6435,0.006435,7950,1548,0.027,0,0.017,3.337,3.328,0.062,0,6.903,0.002,0,0.057,0.006,89.7351,4602,34.7748,328.296,605,605
dTOUCH,13,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,184695,0.184695,13927180,95493,6435,0.006435,7649,1077,0.028,0,0.005,0.441,0.427,0.054,0,1.08,0.004,0,0.052,0.012,94.0351,1067,9.47368,75.883,18,18
reTOUCH,13,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,464683,0.464683,1215122,655,6435,0.006435,8201,2153,0.027,0,0.011,1.002,0.999,0.006,0,2.106,0.002,0,0.005,0.005,167.32,1433,63.0458,166.551,613,613
rereTOUCH,13,10000,10000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,462917,0.462917,1010376,363,6435,0.006435,8201,5109,0.028,0,0.016,0.996,0.995,0.006,0,2.102,0,0,0.005,0.003,179.085,589,43.7255,59.763,613,613
TOUCH,16,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,13413047,37.2585,28330900,11922608,6116,0.0169889,692,0,0.017,0,0.003,36.709,30.765,0.016,0,73.495,0.586,0,0.016,0,92.3077,4683,58.3297,489.582,8,8
cTOUCH,16,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,611895,1.69971,1006697,1373,6116,0.0169889,4758,937,0.019,0,0.01,1.299,1.292,0.037,0,2.74,0.002,0,0.034,0.003,85.7143,4301,34.6429,320.018,365,365
dTOUCH,16,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,302092,0.839144,4712770,182713,6116,0.0169889,4660,692,0.02,0,0.003,0.655,0.636,0.03,0,1.43,0.009,0,0.028,0.013,90.2439,595,11.8415,63.3148,17,17
reTOUCH,16,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,358453,0.995703,967057,955,6116,0.0169889,4764,1603,0.017,0,0.006,0.767,0.766,0.005,0,1.6,0,0,0.004,0.003,173.626,916,61.9011,152.848,365,365
rereTOUCH,16,6000,6000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,468183,1.30051,1005187,1156,6116,0.0169889,4764,2517,0.016,0,0.009,0.995,0.994,0.005,0,2.058,0.002,0,0.004,0.002,183.516,450,51.8571,47.2321,365,365
TOUCH,16,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,16089979,25.1406,56197200,14257401,7273,0.0113641,889,0,0.023,0,0.003,43.88,35.172,0.022,0,87.857,0.715,0,0.021,0,97.5,6989,59.2583,635.322,4,4
cTOUCH,16,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,814047,1.27195,1238451,1498,7273,0.0113641,6779,1561,0.028,0,0.013,1.729,1.719,0.052,0,3.658,0.002,0,0.049,0.005,86.3071,2303,31.7842,215.816,483,483
dTOUCH,16,8000,8000,../../data/RawData-segment-object-1M-Axons.bin,../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,2,4,100,359982,0.562472,9486676,211979,7273,0.0113641,6328,889,0.026,0,0.004,0.822,0.801,0.042,0,1.813,0.013,0,0.042,0.014,94.2478,1141,8.19027,78.7599,14,14
