Algorithm, Epsilon, #A, #B, infile A, infile B, LocalJoin Alg, Fanout, Leaf size, gridSize, Compared #, Compared %, ComparedMax, Duplicates, Results, Selectivity, filtered A, filtered B,t loading, t init, t build, t probe, t comparing, t partition, t join, t total, t deDuplicating, t analyzing, t sorting, t gridCalculate,EmptyCells(%), MaxObj, AveObj, StdObj, repA, repB, max level, gridP robe
TOUCH,50,1500,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6419658,285.318,1877900,5717055,26775,1.19,183,0,0.006,0,0.001,12.146,11.924,0.005,0,24.317,0.336,0,0.005,0.053,82.6087,1182,57.2609,240.88,5,5,0,12.199
cTOUCH,50,1500,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10167268,451.879,96300,9195066,26775,1.19,1033,848,0.009,0,0.003,19.717,19.717,0.012,0,40.14,0.53,0,0.011,0.061,72.3404,440,23.8085,82.0269,95,95,0,19.778
dTOUCH,50,1500,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10008530,444.824,451786,9045795,26775,1.19,1000,183,0.004,0,0.001,19.344,19.004,0.008,0,38.723,0.607,0,0.008,0.036,84.0909,230,13.4091,43.833,8,8,50,19.38
reTOUCH,50,1500,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,6411740,284.966,177305,5717055,26775,1.19,1041,757,0.006,0,0.002,11.933,11.932,0.001,0,24.517,0.492,0,0.001,0.069,100,378,52.2609,71.8783,93,93,0,12.002
rereTOUCH,50,1500,1500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,7446290,330.946,187957,6673236,26775,1.19,1041,928,0.005,0,0.003,13.781,13.781,0.002,0,28.221,0.526,0,0.001,0.055,169.565,363,44.8261,86.3663,93,93,0,13.836
TOUCH,50,2000,2000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10337219,258.43,3565700,8991387,47286,1.18215,12,0,0.008,0,0.001,19.933,19.567,0.007,0,39.903,0.591,0,0.007,0.07,93.5484,1615,64.129,290.709,3,3,0,20.003
cTOUCH,50,2000,2000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11175145,279.379,167864,9781736,47286,1.18215,1445,378,0.007,0,0.004,20.202,20.198,0.013,0,41.369,0.694,0,0.012,0.11,80.6452,1408,35.1129,183.031,125,125,0,20.312
dTOUCH,50,2000,2000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,15027706,375.693,1167577,13369019,47286,1.18215,1454,12,0.005,0,0.001,28.649,28.096,0.013,0,57.347,1.028,0,0.013,0.036,91.8033,527,11.1967,67.7526,6,6,50,28.685
reTOUCH,50,2000,2000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10324323,258.108,354608,8991387,47286,1.18215,1465,168,0.01,0,0.002,19.596,19.596,0.002,0,40.368,0.918,0,0.001,0.113,100,693,76.3548,142.851,125,125,0,19.709
rereTOUCH,50,2000,2000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11811494,295.287,387659,10299058,47286,1.18215,1465,996,0.012,0,0.003,22.247,22.243,0.001,0,45.505,0.843,0,0.001,0.066,180.645,307,49.6452,62.3807,125,125,0,22.313
TOUCH,50,2500,2500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12730074,203.681,5623200,10890202,65339,1.04542,12,0,0.008,0,0.001,24.021,23.565,0.01,0,48.082,0.768,0,0.009,0.07,94.7368,2115,65.4737,342.186,3,3,0,24.091
cTOUCH,50,2500,2500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,14465477,231.448,370604,12507139,65339,1.04542,1946,347,0.007,0,0.004,27.404,27.4,0.019,0,56.017,0.877,0.001,0.018,0.132,81.5789,1060,35.6184,164.944,153,153,0,27.536
dTOUCH,50,2500,2500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,20438389,327.014,1358048,18141831,65339,1.04542,1868,12,0.006,0,0.002,39.245,38.545,0.013,0,78.54,1.316,0,0.013,0.039,90.5405,414,10.5946,51.1674,8,8,50,39.284
reTOUCH,50,2500,2500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12710888,203.374,929021,10890202,65339,1.04542,1708,146,0.006,0,0.003,23.761,23.759,0.001,0,48.911,1.057,0,0.001,0.153,97.3684,1069,82.7895,189.549,153,153,0,23.914
rereTOUCH,50,2500,2500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,13692015,219.072,1120691,11671512,65339,1.04542,1708,153,0.013,0,0.004,26.029,26.029,0.002,0,53.447,1.029,0,0.001,0.158,178.947,794,82.6053,119.343,153,153,0,26.187
TOUCH,50,3000,3000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10233222,113.702,7996700,8574550,74692,0.829911,11,0,0.009,0,0.001,19.35,18.945,0.011,0,38.748,0.702,0,0.011,0.052,91.4894,2953,63.5957,426.037,5,5,0,19.402
cTOUCH,50,3000,3000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12945796,143.842,486641,10961680,74692,0.829911,2369,31,0.008,0,0.005,24.656,24.655,0.022,0,50.491,0.765,0,0.02,0.17,85.7143,1325,39.5604,193.111,183,183,0,24.826
dTOUCH,50,3000,3000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,22568166,250.757,2019400,19945877,74692,0.829911,2406,11,0.011,0,0.002,43.619,42.726,0.015,0,87.305,1.702,0,0.015,0.038,92.3913,501,9.15217,57.2399,8,8,50,43.657
reTOUCH,50,3000,3000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10215377,113.504,895206,8574550,74692,0.829911,2304,52,0.007,0,0.005,19.214,19.213,0.002,0,39.679,0.866,0,0.002,0.175,100,1092,77.5319,187.865,189,189,0,19.389
rereTOUCH,50,3000,3000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,16062768,178.475,818382,14059548,74692,0.829911,2304,1407,0.01,0,0.005,30.12,30.119,0.002,0,61.567,1.11,0,0.002,0.089,182.979,893,48.7021,139.952,189,189,0,30.209
TOUCH,50,3500,3500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11480786,93.7207,8762000,9381843,85022,0.694057,36,0,0.011,0,0.002,22.026,21.563,0.011,0,44.105,0.812,0,0.011,0.055,88.8889,2455,64.1481,337.728,7,7,0,22.081
cTOUCH,50,3500,3500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,15508711,126.602,581662,13030924,85022,0.694057,2808,207,0.017,0,0.006,29.253,29.25,0.022,0,59.833,0.877,0,0.02,0.178,83.9623,1750,37.5943,201.582,213,213,0,29.431
dTOUCH,50,3500,3500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,24541288,200.337,2119700,21417532,85022,0.694057,2923,36,0.012,0,0.002,46.772,45.794,0.018,0,93.621,1.87,0,0.017,0.04,90.099,522,10.4455,57.552,11,11,50,46.812
reTOUCH,50,3500,3500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11455040,93.5105,774096,9381843,85022,0.694057,2911,201,0.01,0,0.005,20.763,20.762,0.003,0,42.807,0.898,0,0.002,0.172,100,968,72,185.703,217,217,0,20.935
rereTOUCH,50,3500,3500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,16430911,134.13,694836,13775721,85022,0.694057,2911,1719,0.013,0,0.005,30.523,30.52,0.004,0,62.442,1.158,0,0.003,0.093,187.037,708,43.8889,94.453,217,217,0,30.616
TOUCH,50,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10492607,65.5788,15622800,8318399,90942,0.568388,15,0,0.01,0,0.002,20.022,19.595,0.015,0,40.1,0.732,0,0.015,0.059,95.1613,3777,64.2742,475.927,4,4,0,20.081
cTOUCH,50,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12721317,79.5082,631587,10218674,90942,0.568388,2858,196,0.012,0,0.007,24.064,24.061,0.028,0,49.414,0.825,0,0.026,0.18,86.6667,2697,41.2167,259.724,241,241,0,24.244
dTOUCH,50,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,23503061,146.894,3113311,20094341,90942,0.568388,2999,15,0.014,0,0.002,45.772,44.902,0.023,0,91.637,1.64,0,0.023,0.047,92.623,643,9.09016,61.1089,10,10,50,45.819
reTOUCH,50,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10450383,65.3149,1571721,8318399,90942,0.568388,2907,221,0.014,0,0.004,19.354,19.351,0.003,0,39.958,0.838,0,0.002,0.183,100,1040,78.5806,198.133,249,249,0,19.537
rereTOUCH,50,4000,4000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,13348421,83.4276,2096804,10733718,90942,0.568388,2907,389,0.011,0,0.006,24.94,24.933,0.003,0,51.294,1.043,0,0.002,0.162,187.097,911,75.871,109.46,249,249,0,25.102
TOUCH,50,4500,4500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,9798217,48.3863,19647900,7646265,90942,0.449096,43,0,0.016,0,0.002,19.379,18.983,0.014,0,38.822,0.674,0,0.013,0.057,95.5882,4260,65.5441,512.839,4,4,0,19.436
cTOUCH,50,4500,4500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11562337,57.098,868261,9276905,90942,0.449096,3435,348,0.017,0,0.008,22.024,22.016,0.029,0,45.228,0.732,0,0.026,0.166,85.4015,2505,38.0803,235.441,275,275,0,22.19
dTOUCH,50,4500,4500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,20771520,102.575,5176797,17585325,90942,0.449096,2990,43,0.017,0,0.002,40.652,39.867,0.025,0,81.406,1.444,0,0.023,0.06,93.3333,847,12.1037,83.1448,10,10,50,40.712
reTOUCH,50,4500,4500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,9730701,48.0528,1622913,7646265,90942,0.449096,3432,481,0.014,0,0.005,17.805,17.799,0.003,0,36.804,0.841,0,0.003,0.152,100,1199,74.8088,200.144,273,273,0,17.957
rereTOUCH,50,4500,4500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10962697,54.1368,1853877,8664323,90942,0.449096,3432,817,0.02,0,0.007,19.867,19.864,0.003,0,40.913,0.842,0,0.002,0.136,188.235,1174,69.8676,137.426,273,273,0,20.003
TOUCH,50,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,9457227,37.8289,23224400,7348329,90942,0.363768,180,0,0.014,0,0.002,18.38,18.019,0.015,0,36.822,0.612,0,0.014,0.053,94.7368,4442,63.4211,507.397,5,5,0,18.433
cTOUCH,50,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,11184048,44.7362,360975,8969397,90942,0.363768,4111,1367,0.013,0,0.008,21.789,21.785,0.034,0,44.535,0.628,0,0.032,0.106,81.6993,2493,29.5556,208.74,307,307,0,21.895
dTOUCH,50,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,16867108,67.4684,3153105,14106138,90942,0.363768,3939,180,0.018,0,0.003,33.356,32.693,0.027,0,66.824,1.245,0,0.026,0.036,91.8919,473,8.06757,52.4048,13,13,50,33.392
reTOUCH,50,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,9384158,37.5366,2140028,7348329,90942,0.363768,3895,785,0.012,0,0.006,18.083,18.079,0.003,0,37.162,0.69,0,0.003,0.13,100,1247,70,200.683,305,305,0,18.213
rereTOUCH,50,5000,5000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,10250435,41.0017,3097308,8061158,90942,0.363768,3895,898,0.017,0,0.008,19.419,19.414,0.003,0,39.82,0.663,0,0.003,0.129,189.474,1220,68.5132,135.212,305,305,0,19.548
TOUCH,50,5500,5500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12524202,41.4023,27562500,9410307,123008,0.406638,481,0,0.018,0,0.003,24.395,23.912,0.015,0,48.867,0.849,0,0.015,0.056,97.6471,5004,59.0471,539.541,3,3,0,24.451
cTOUCH,50,5500,5500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,12904736,42.6603,469941,9769917,123008,0.406638,3949,249,0.023,0,0.009,24.301,24.291,0.036,0,50.019,0.922,0,0.033,0.174,89.881,5841,40.4881,450.221,337,337,0,24.475
dTOUCH,50,5500,5500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,22430507,74.1504,6519655,18385557,123008,0.406638,4124,481,0.023,0,0.002,44.09,43.232,0.03,0,88.307,1.61,0,0.029,0.047,95.625,1145,9.35,91.0002,8,8,50,44.137
reTOUCH,50,5500,5500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,13023058,43.0514,2916949,9923098,123008,0.406638,4085,518,0.019,0,0.005,24.133,24.127,0.004,0,49.614,0.999,0,0.003,0.143,98.8235,1465,75.2588,232.899,341,341,0,24.276
rereTOUCH,50,5500,5500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17081944,56.4692,3916446,13545861,123008,0.406638,4085,671,0.023,0,0.009,34.341,34.339,0.003,0,70.306,1.247,0,0.002,0.151,189.412,1116,73.4588,149.776,341,341,0,34.492
TOUCH,50,6000,6000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,14183313,39.3981,29692300,10587563,139542,0.387617,481,0,0.026,0,0.003,27.795,27.232,0.017,0,55.685,0.97,0,0.016,0.075,94.5055,4890,60.6484,510.414,6,6,0,27.87
cTOUCH,50,6000,6000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,14964762,41.5688,1922251,11323827,139542,0.387617,4220,260,0.019,0,0.012,29.086,29.078,0.043,0,59.711,0.936,0,0.04,0.223,89.011,5649,41.3187,419.87,365,365,0,29.309
dTOUCH,50,6000,6000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,25291195,70.2533,7738000,20570775,139542,0.387617,4085,481,0.018,0,0.003,49.372,48.496,0.03,0,98.864,1.617,0,0.03,0.06,93.4132,1065,14.8144,96.3158,12,12,50,49.432
reTOUCH,50,6000,6000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,14222986,39.5083,3099617,10665182,139542,0.387617,4337,634,0.021,0,0.006,27.6,27.591,0.004,0,56.679,1.084,0,0.003,0.162,98.9011,2201,77.2418,294.169,365,365,0,27.762
rereTOUCH,50,6000,6000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17673096,49.0919,3812428,13774020,139542,0.387617,4337,705,0.021,0,0.01,33.752,33.748,0.004,0,69.115,1.203,0,0.003,0.166,186.813,1722,76.4615,183.798,365,365,0,33.918
TOUCH,50,6500,6500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,15097763,35.7344,34596800,11272561,149442,0.353709,572,0,0.019,0,0.002,29.489,28.906,0.018,0,59.06,1.022,0,0.017,0.069,93.9394,5246,59.8788,526.161,7,7,0,29.558
cTOUCH,50,6500,6500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17733953,41.9739,746878,13723664,149442,0.353709,4554,897,0.018,0,0.011,33.415,33.399,0.042,0,68.399,1.08,0,0.038,0.168,84.7716,4853,38.3198,348.783,395,395,0,33.583
dTOUCH,50,6500,6500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,25183506,59.6059,7102775,20356583,149442,0.353709,4576,572,0.022,0,0.003,49.149,48.274,0.036,0,98.443,1.634,0,0.034,0.051,92.3913,989,12.9185,84.5749,15,15,50,49.2
reTOUCH,50,6500,6500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,15173334,35.9132,4779962,11344797,149442,0.353709,3730,730,0.023,0,0.007,28.52,28.51,0.005,0,58.79,1.287,0,0.003,0.191,97.9798,2628,86.2626,302.939,397,397,0,28.711
rereTOUCH,50,6500,6500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,20515987,48.5585,4994067,16122097,149442,0.353709,3730,737,0.019,0,0.01,39.734,39.727,0.004,0,81.33,1.436,0,0.003,0.175,186.869,1990,86.1919,244.74,397,397,0,39.909
TOUCH,50,7000,7000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,16313523,33.2929,32530700,12163138,161899,0.330406,563,0,0.027,0,0.003,32.233,31.588,0.021,0,64.574,1.135,0,0.02,0.074,93.3962,4014,60.7264,409.29,8,8,0,32.307
cTOUCH,50,7000,7000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,19987650,40.7911,1984472,15534345,161899,0.330406,4356,655,0.023,0,0.013,39.366,39.352,0.046,0,80.56,1.241,0,0.043,0.205,84.9057,5308,42.4009,372.006,425,425,0,39.571
dTOUCH,50,7000,7000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,27224157,55.5595,11287932,21850508,161899,0.330406,4539,563,0.021,0,0.003,53.45,52.466,0.038,0,107.042,1.797,0,0.036,0.076,89.7959,1372,15.648,106.965,21,21,50,53.526
reTOUCH,50,7000,7000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,16332426,33.3315,6663464,12203319,161899,0.330406,4059,732,0.017,0,0.008,32.175,32.169,0.005,0,66.271,1.423,0,0.004,0.213,99.0566,3190,86.8774,350.943,425,425,0,32.388
rereTOUCH,50,7000,7000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,25739558,52.5297,6436861,20692789,161899,0.330406,4059,823,0.022,0,0.011,50.24,50.233,0.004,0,102.89,1.934,0,0.003,0.196,187.736,1283,86.0189,142.914,425,425,0,50.436
TOUCH,50,7500,7500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17106668,30.4119,51063100,12765026,168915,0.300293,563,0,0.026,0,0.004,36.172,35.467,0.021,0,72.449,1.228,0,0.021,0.087,96.4602,6787,61.3894,635.572,5,5,0,36.259
cTOUCH,50,7500,7500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,20297045,36.0836,1696790,15798027,168915,0.300293,5446,922,0.02,0,0.014,39.642,39.636,0.047,0,80.946,1.12,0,0.043,0.184,83.1858,3552,38.1947,257.497,453,453,0,39.826
dTOUCH,50,7500,7500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,28541666,50.7407,13367435,23056882,168915,0.300293,4977,563,0.028,0,0.003,54.805,53.694,0.041,0,109.779,2.063,0,0.039,0.071,93.4884,1697,12.907,118.924,15,15,50,54.876
reTOUCH,50,7500,7500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17060961,30.3306,8191197,12800774,168915,0.300293,4388,743,0.024,0,0.009,32.259,32.254,0.005,0,66.431,1.419,0,0.004,0.204,99.115,3542,87.3363,375.057,453,453,0,32.463
rereTOUCH,50,7500,7500,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,26870040,47.769,6593211,21663605,168915,0.300293,4388,822,0.022,0,0.011,53.557,53.55,0.005,0,109.359,1.773,0,0.003,0.195,184.956,1136,86.6372,143.228,453,453,0,53.752
TOUCH,50,8000,8000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,17945885,28.0404,59091300,13356158,177762,0.277753,576,0,0.023,0,0.004,2249.7,2248.96,0.024,0,4499.49,1.28,0,0.023,0.087,97.5,7381,61.8667,670.95,4,4,0,2249.78
cTOUCH,50,8000,8000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,20032513,31.3008,3483335,15305990,177762,0.277753,5421,752,0.024,0,0.016,36.525,36.513,0.054,0,7740.94,7667.28,0,0.05,0.202,86.722,3240,40.7759,268.617,483,483,0,36.727
dTOUCH,50,8000,8000,../../../data/RawData-segment-object-1M-Axons.bin,../../../data/RawData-segment-object-1M-Dendrites.bin,SGrid,3,100,100,29685325,46.3833,14633977,23882825,177762,0.277753,5224,576,0.054,0,0.009,61.117,59.869,0.14,0,122.705,2.146,0.001,0.135,0.165,93.9394,1651,12.8701,115.472,15,15,50,61.282
